Employee ID;Employee Name;Gender ID;Cancel;Fincode;Date of Birth;Disability ID;Veteran;Modify Date
5084;Brian Wilson;1;0;420-78-5853;20.11.1973;10;0;24.04.2024
6367;Henry Hunt;1;1;260-87-8491;12.03.1988;20;1;14.01.2024
7457;Veronica Friedman;2;0;514-15-2094;12.07.1976;;0;14.04.2024
6564;Joseph Garrett;2;0;182-43-3724;17.03.1996;10;1;15.12.2023
2533;Stephanie Quinn;2;1;142-95-1981;04.07.1980;20;0;05.03.2024
3636;Ms. Judy Hodges DVM;1;1;814-74-3693;16.08.2001;20;1;15.03.2024
5816;Sarah Wilson;2;0;891-87-8808;16.05.1984;10;0;17.11.2023
7487;Anne Dominguez;1;0;160-71-1103;30.04.1969;30;0;23.06.2024
5886;Nicole Scott;1;1;555-98-1925;01.06.1969;20;1;27.10.2023
1078;Rebecca Mendoza;1;0;512-44-2152;14.11.1980;;1;14.04.2024
6124;Gregory Davis;2;1;518-18-4408;30.01.1971;20;0;13.05.2024
4552;Christopher Williams;2;1;285-99-2409;04.12.1990;;1;18.04.2024
5595;Jason Lopez;2;0;158-92-8943;20.04.1986;10;1;17.04.2024
4057;Mrs. Nancy Lee;1;0;223-59-7873;03.03.1988;20;0;28.06.2024
1888;Christine Meyer;1;0;695-05-8745;29.07.1993;;1;23.08.2024
5773;Tyler Guerrero;2;1;023-11-3435;23.11.1985;;1;08.02.2024
4079;Jacob Brown;1;1;533-96-3204;04.03.1977;10;1;04.04.2024
8903;Lisa Brown;2;1;818-95-2794;11.08.1981;20;1;11.05.2024
3451;David Gonzalez;2;1;791-28-0335;17.04.1969;20;1;18.01.2024
2956;Zachary Gamble;2;1;706-75-2223;29.06.1979;10;1;28.05.2024
8539;Bryan Hill;1;0;477-81-7300;25.03.2003;20;0;26.09.2024
6342;Annette White;2;0;471-62-9711;05.09.1970;10;0;14.12.2023
9719;Lydia Perez;1;0;845-38-6258;15.12.1982;20;1;26.03.2024
7735;Brian Thomas;1;1;119-85-0170;13.09.1990;30;1;19.05.2024
7306;Melody Lee;2;1;113-62-4109;12.08.1968;20;0;16.02.2024
7182;Laurie Romero;2;0;281-35-1205;19.11.1999;;1;07.01.2024
6202;Kimberly Soto;2;0;648-67-1333;13.05.1972;;1;16.09.2024
6068;Adam Daniel;2;0;314-42-0722;21.06.2002;30;0;01.11.2023
1123;Kenneth Simon;1;0;728-18-0626;03.09.1988;20;1;08.01.2024
1287;Ian Oliver;1;1;015-30-7586;20.07.1970;;1;20.01.2024
7761;Joshua Jones;2;0;886-38-8604;10.12.1990;;0;24.11.2023
2220;Gene Norris;1;1;471-09-6818;22.01.1974;20;1;06.10.2023
6520;Anthony Oconnell;1;0;246-81-4558;23.06.1971;10;1;27.03.2024
8820;Mark Owen;1;1;511-94-1324;05.03.1979;20;1;26.03.2024
7246;Amy Willis;1;1;613-39-4536;09.11.1981;10;1;20.09.2024
5214;Ann Leonard;1;0;303-35-4208;09.03.1977;30;1;06.09.2024
4418;Reginald Pierce;2;0;505-23-0749;10.12.1991;30;0;07.07.2024
4255;Brooke Sims;1;1;746-64-4874;09.08.1982;;1;20.02.2024
3769;Autumn Vang;2;0;102-57-4417;25.02.1988;;0;17.04.2024
